Anurolimnas castaneiceps_Chestnut-headed Crake
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_Peenička hrdzavohrdlá
Apalis cinerea_Peenička sivá
Apalis flavida_Peenička žltoprsá
Apalis melanocephala_Peenička čiernohlavá
Apalis personata_Peenička horská
Apalis porphyrolaema_Peenička hnedohrdlá
Apalis ruddi_Peenička čiernooká
Apalis rufogularis_Peenička lesná
Apalis sharpii_Peenička tmavá
Apalis thoracica_Peenička golierikatá
Apaloderma narina_Terogónovec narina
Apaloderma vittatum_Terogónovec pásochvostý
Aphanotriccus audax_Peamuchár čiernozobý
Aphanotriccus capitalis_Peamuchár hrdzavoprsý
Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_Beieločelka bledoprsá
Aphelocoma californica_Keapuciarka dubová
Aphelocoma coerulescens_Keapuciarka modrohlavá
Aphelocoma insularis_Keapuciarka ostrovná
Aphelocoma ultramarina_Keapuciarka belasá
Aphelocoma unicolor_Keapuciarka jednofarebná
Aphelocoma wollweberi_Keapuciarka mexická
Aphelocoma woodhouseii_Keapuciarka krovinová
Aphrastura spinicauda_Šepicochvost tŕňochvostý
Aplonis atrifusca_Meajna záhradná
Aplonis cantoroides_Meajna spevavá
Aplonis grandis_Meajna šalamúnska
Aplonis metallica_Meajna družná
Aplonis mysolensis_Meajna molucká
Aplonis opaca_Meajna mikronézska
Aplonis panayensis_Meajna zelená
Aplonis tabuensis_Meajna tichomorská
Aprositornis disjuncta_Peralesníček bledonohý
Aprosmictus erythropterus_Keráľčik ušľachtilý
Aptenodytes patagonicus_Teučniak veľký
Apteryx mantelli_Keivi hnedý
Apus affinis_Deážďovník malý
Apus apus_Deážďovník obyčajný
Apus caffer_Deážďovník lastovičí
Apus melba_Alpine Swift
Apus nipalensis_Deážďovník domový
Apus pacificus_Deážďovník bielochrbtý
Apus pallidus_Deážďovník plavý
Apus unicolor_Deážďovník morský
Aquila adalberti_Oerol iberský
Aquila chrysaetos_Oerol skalný
Ara ararauna_Aera modro-žltá
Ara chloropterus_Aera zelenokrídla
Ara macao_Aera arakanga
Ara militaris_Aera zelená
Ara severus_Aera tmavočelá
Arachnothera everetti_Peavučiarka škvrnitoprsá
Arachnothera flavigaster_Peavučiarka okuliarnatá
Arachnothera longirostra_Peavučiarka banánová
Arachnothera magna_Peavučiarka čiarková
Aramides albiventris_Cehriašteľ bielobruchý
Aramides axillaris_Cehriašteľ červenokrký
Aramides cajaneus_Cehriašteľ sivokrký
Aramides saracura_Cehriašteľ sarakura
Aramides wolfi_Cehriašteľ hnedochrbtý
Aramides ypecaha_Cehriašteľ ypekaha
Aramus guarauna_Keurlan chriaštelí
Aratinga auricapillus_Kelinochvost svietivý
Aratinga jandaya_Kelinochvost zlatožltý
Aratinga nenday_Kelinochvost čiernohlavý
Aratinga weddellii_Kelinochvost tmavohlavý
Arborophila ardens_Keurička hainanská
Arborophila atrogularis_Keurička bielolíca
Arborophila campbelli_Keurička malajská
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_Keurička bielobradá
Arborophila hyperythra_Keurička tmavoboká
Arborophila javanica_Keurička hnedobruchá
Arborophila orientalis_Keurička jávska
Arborophila rufogularis_Keurička hrdzavokrká
Arborophila torqueola_Keurička himalájska
Arcanator orostruthus_Peodrastník hôrny
Archilochus alexandri_Čemeľovec čiernobradý
Archilochus colubris_Čemeľovec červenohrdlý
Ardea alba_Beeluša veľká
Ardea cinerea_Veolavka popolavá
Ardea cocoi_Veolavka kokoi
Ardea herodias_Veolavka statná
Ardea intermedia_Veolavka prostredná
Ardea purpurea_Veolavka purpurová
Ardenna creatopus_Veíchrovník ružovonohý
Ardenna grisea_Veíchrovník tmavý
