Automolus leucophthalmus_філідор-лісовик білоокий
Automolus melanopezus_філідор-лісовик червоноокий
Automolus ochrolaemus_філідор-лісовик вохристогорлий
Automolus paraensis_Para Foliage-gleaner
Automolus rufipileatus_філідор-лісовик рудочеревий
Automolus subulatus_філідор рископерий
Automolus virgatus_Western Woodhaunter
Aviceda subcristata_шуляк австралійський
Aythya americana_попелюх американський
Aythya collaris_чернь канадська
Aythya ferina_попелюх звичайний
Aythya fuligula_чернь чубата
Aythya marila_чернь морська
Aythya nyroca_чернь білоока
Aythya valisineria_попелюх довгодзьобий
Baeolophus atricristatus_синиця чорночуба
Baeolophus bicolor_синиця гострочуба
Baeolophus inornatus_синиця каліфорнійська
Baeolophus ridgwayi_синиця ялівцева
Baeolophus wollweberi_синиця американська
Baeopogon indicator_бюльбюль-білохвіст нігерійський
Balearica regulorum_вінценос південний, або журавель-вінценос південний
Bambusicola fytchii_куріпка бамбукова
Bambusicola sonorivox_Taiwan Bamboo-Partridge
Bambusicola thoracicus_куріпка китайська
Bangsia aureocincta_аркея золотощока
Bangsia edwardsi_аркея синьощока
Bangsia melanochlamys_аркея колумбійська
Bangsia rothschildi_аркея золотовола
Barnardius zonarius_розела чорноголова
Bartramia longicauda_бартрамія
Baryphthengus martii_момот амазонійський
Baryphthengus ruficapillus_момот рудоголовий
Basileuterus belli_коронник золотобровий
Basileuterus culicivorus_коронник малий
Basileuterus lachrymosus_пісняр-віялохвіст
Basileuterus melanogenys_коронник чорнощокий
Basileuterus melanotis_Costa Rican Warbler
Basileuterus rufifrons_коронник рудоголовий
Basileuterus trifasciatus_коронник трисмугий
Basileuterus tristriatus_коронник смугастоголовий
Batara cinerea_батара
Bathmocercus rufus_жалівник рудий
Batis capensis_приріт рудокрилий
Batis crypta_приріт ірингійський
Batis erlangeri_приріт західний
Batis molitor_приріт білобокий
Batis orientalis_приріт акацієвий
Batis perkeo_приріт карликовий
Batis pririt_приріт сіробокий
Batrachostomus affinis_Blyth's Frogmouth
Batrachostomus auritus_корнудо вухатий
Batrachostomus cornutus_корнудо сундайський
Batrachostomus hodgsoni_корнудо довгохвостий
Batrachostomus javensis_корнудо яванський
Batrachostomus moniliger_корнудо цейлонський
Batrachostomus septimus_корнудо філіпінський
Batrachostomus stellatus_корнудо малазійський
Berenicornis comatus_калао білочубий
Berlepschia rikeri_пальмолаз
