Atlapetes albinucha_Hvitkronekjerrspurv
Atlapetes albofrenatus_Mustasjekjerrspurv
Atlapetes crassus_Choco Brushfinch
Atlapetes flaviceps_Gulhodekjerrspurv
Atlapetes fulviceps_Brunhodekjerrspurv
Atlapetes fuscoolivaceus_Magdalenakjerrspurv
Atlapetes latinuchus_Rustkronekjerrspurv
Atlapetes leucopis_Brillekjerrspurv
Atlapetes leucopterus_Hvitvingekjerrspurv
Atlapetes melanocephalus_Santamartakjerrspurv
Atlapetes melanolaemus_Svartmaskekjerrspurv
Atlapetes pallidiceps_Blekhodekjerrspurv
Atlapetes pallidinucha_Bleknakkekjerrspurv
Atlapetes personatus_Tepuikjerrspurv
Atlapetes pileatus_Brunkronekjerrspurv
Atlapetes rufigenis_Rødhodekjerrspurv
Atlapetes rufinucha_Boliviakjerrspurv
Atlapetes schistaceus_Skiferkjerrspurv
Atlapetes seebohmi_Inkakjerrspurv
Atlapetes semirufus_Kanelkjerrspurv
Atlapetes tibialis_Gulbuksespurv
Atlapetes tricolor_Gullkronekjerrspurv
Atrichornis clamosus_Larmkrattfugl
Atrichornis rufescens_Rustkrattfugl
Attagis gayi_Rustrypesnipe
Atthis ellioti_Wine-throated Hummingbird
Atthis heloisa_Bumblebee Hummingbird
Atticora fasciata_Hvitbeltesvale
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_Hvitøyeattila
Attila cinnamomeus_Kanelattila
Attila citriniventris_Sitronbukattila
Attila phoenicurus_Gråhetteattila
Attila rufus_Gråhodeattila
Attila spadiceus_Gulgumpattila
Attila torridus_Okerattila
Augastes lumachella_Visirkolibri
Augastes scutatus_Hyasintkolibri
Aulacorhynchus albivitta_Andestukan
Aulacorhynchus atrogularis_Svartstrupetukan
Aulacorhynchus caeruleogularis_Blåstrupetukan
Aulacorhynchus coeruleicinctis_Blåbåndtukan
Aulacorhynchus derbianus_Bruntipptukan
Aulacorhynchus haematopygus_Rødgumptukan
Aulacorhynchus prasinus_Smaragdtukan
Aulacorhynchus sulcatus_Furenebbtukan
Auriparus flaviceps_Meisesmett
Automolus exsertus_Chiriquilløvgransker
Automolus infuscatus_Olivenløvgransker
Automolus lammi_Pernambucoløvgransker
Automolus leucophthalmus_Hvitøyeløvgransker
Automolus melanopezus_Okerstrupeløvgransker
Automolus ochrolaemus_Blekstrupeløvgransker
Automolus paraensis_Paráløvgransker
Automolus rufipileatus_Kastanjekroneløvgransker
Automolus subulatus_Stripeskogjeger
Automolus virgatus_Western Woodhaunter
Aviceda subcristata_Australbaza
Aythya americana_Kobberhodeand
Aythya collaris_Ringand
Aythya ferina_Taffeland
Aythya fuligula_Toppand
Aythya marila_Bergand
Aythya nyroca_Hvitøyeand
Aythya valisineria_Kanvasand
Baeolophus atricristatus_Svartduskmeis
Baeolophus bicolor_Gråduskmeis
Baeolophus inornatus_Gråmeis
Baeolophus ridgwayi_Einermeis
Baeolophus wollweberi_Tøylemeis
Baeopogon indicator_Honninglosbylbyl
Balearica regulorum_Gråkrontrane
Bambusicola fytchii_Burmabambushøne
Bambusicola sonorivox_Taiwanbambushøne
Bambusicola thoracicus_Kinabambushøne
Bangsia aureocincta_Gullringtanagar
Bangsia edwardsi_Blåkinntanagar
Bangsia melanochlamys_Caldastanagar
Bangsia rothschildi_Gullbrysttanagar
Barnardius zonarius_Svarthodeparakitt
Bartramia longicauda_Præriesnipe
Baryphthengus martii_Kanelmotmot
Baryphthengus ruficapillus_Brunkronemotmot
Basileuterus belli_Gulbrynparula
Basileuterus culicivorus_Gyllenkroneparula
Basileuterus lachrymosus_Vifteparula
Basileuterus melanogenys_Svartkinnparula
Basileuterus melanotis_Costaricaparula
Basileuterus rufifrons_Brunkroneparula
Basileuterus trifasciatus_Quechuaparula
Basileuterus tristriatus_Stripehodeparula
Batara cinerea_Risemaurvarsler
Bathmocercus rufus_Maskerustsanger
Batis capensis_Kappbatis
Batis crypta_Iringabatis
Batis erlangeri_Western Black-headed Batis
Batis molitor_Bantubatis
Batis orientalis_Akasiebatis
Batis perkeo_Dvergbatis
Batis pririt_Priritbatis
Batrachostomus affinis_Malayfroskemunn
Batrachostomus auritus_Kurrefroskemunn
Batrachostomus cornutus_Sundafroskemunn
Batrachostomus hodgsoni_Burmafroskemunn
Batrachostomus javensis_Javafroskemunn
Batrachostomus moniliger_Singaleserfroskemunn
Batrachostomus septimus_Bandolærfroskemunn
Batrachostomus stellatus_Stjernefroskemunn
Berenicornis comatus_Hvitmankehornfugl
Berlepschia rikeri_Palmekryper
Bernieria madagascariensis_Gassersanger
Bias musicus_Toppbias
Biatas nigropectus_Hvitskjeggmaurvarsler
Bleda canicapillus_Gråhodebørstebylbyl
Bleda notatus_Tøylebørstebylbyl
Bleda syndactylus_Maskarabørstebylbyl
Blythipicus pyrrhotis_Trollspett
Blythipicus rubiginosus_Skyggespett
Boissonneaua flavescens_Okerhalekolibri
Boissonneaua jardini_Perlemorkolibri
Boissonneaua matthewsii_Kastanjebrystkolibri
Bolborhynchus ferrugineifrons_Rustgrimeparakitt
Bolborhynchus lineola_Stripeparakitt
Bolborhynchus orbygnesius_Andesparakitt
Bolemoreus frenatus_Grimehonningeter
Bombycilla cedrorum_Einersidensvans
Bombycilla garrulus_Sidensvans
Bombycilla japonica_Amursidensvans
