Abeillia abeillei_Zielaczek
Anthus spinoletta_Siwerniak
Anthus spragueii_Świergotek preriowy
Anthus sylvanus_Świergotek himalajski
Anthus trivialis_Świergotek drzewny
Antigone antigone_żuraw indyjski
Antigone canadensis_żuraw kanadyjski
Antigone rubicunda_żuraw australijski
Antigone vipio_żuraw białoszyi
Antilophia bokermanni_Hełmogłowik biały
Antilophia galeata_Hełmogłowik czarny
Antrostomus arizonae_Lelkowiec arizoński
Antrostomus badius_Lelkowiec białosterny
Antrostomus carolinensis_Lelkowiec karoliński
Antrostomus noctitherus_Lelkowiec czarnogardły
Antrostomus ridgwayi_Lelkowiec brązowoszyi
Antrostomus rufus_Lelkowiec rdzawy
Antrostomus saturatus_Lelkowiec kostarykański
Antrostomus sericocaudatus_Lelkowiec jedwabisty
Antrostomus vociferus_Lelkowiec krzykliwy
Anumara forbesi_Starzykowiec samotny
Anumbius annumbi_Chrustownik
Anurolimnas castaneiceps_Chestnut-headed Crake
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_Nikornik szarobrzuchy
Apalis cinerea_Nikornik szary
Apalis flavida_Nikornik żółtopierśny
Apalis melanocephala_Nikornik żałobny
Apalis personata_Nikornik czarnolicy
Apalis porphyrolaema_Nikornik rdzwogardły
Apalis ruddi_Nikornik białobrewy
Apalis rufogularis_Nikornik kongijski
Apalis sharpii_Nikornik ciemny
Apalis thoracica_Nikornik obrożny
Apaloderma narina_Afrotrogon zielony
Apaloderma vittatum_Afrotrogon prążkowany
Aphanotriccus audax_Tyranula czarnodzioba
Aphanotriccus capitalis_Tyranula białogardła
Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_Białoczółka szarogrzbieta
Aphelocoma californica_Modrowronka kalifornijska
Aphelocoma coerulescens_Modrowronka zaroślowa
Aphelocoma insularis_Modrowronka wyspowa
Aphelocoma ultramarina_Modrowronka meksykańska
Aphelocoma unicolor_Modrowronka jednobarwna
Aphelocoma wollweberi_Modrowronka dębowa
Aphelocoma woodhouseii_Modrowronka leśna
Aphrastura spinicauda_Ostrogonek mały
Aplonis atrifusca_Skworczyk samoański
Aplonis cantoroides_Skworczyk śpiewny
Aplonis grandis_Skworczyk duży
Aplonis metallica_Skworczyk towarzyski
Aplonis mysolensis_Skworczyk molucki
Aplonis opaca_Skworczyk mikronezyjski
Aplonis panayensis_Skworczyk zielony
Aplonis tabuensis_Skworczyk polinezyjski
Aprositornis disjuncta_Ściółkowczyk białobrzuchy
Aprosmictus erythropterus_Krasnopiórka czerwonoskrzydła
Aptenodytes patagonicus_Pingwin królewski
Apteryx mantelli_Kiwi północny
Apus affinis_Jerzyk mały
Apus apus_Jerzyk (zwyczajny)
Apus caffer_Jerzyk widłosterny
Apus melba_Alpine Swift
