Arremon franciscanus_Sao Francisco Sparrow
Arremon schlegeli_キガタシズカシトド
Arremon semitorquatus_Half-collared Sparrow
Arremon taciturnus_シズカシトド
Arremon torquatus_スジボウシヤブシトド
Arremon virenticeps_メキシコスジボウシヤブシトド
Arremonops chloronotus_ミドリオリーブシトド
Arremonops conirostris_クロスジオリーブシトド
Arremonops rufivirgatus_オリーブシトド
Arremonops tocuyensis_ヒメオリーブシトド
Arses telescopthalmus_エリマキヒタキ
Artamus cinereus_カオグロモリツバメ
Artamus cyanopterus_ウスズミモリツバメ
Artamus fuscus_ハイイロモリツバメ
Artamus leucorynchus_モリツバメ
Artamus maximus_パプアモリツバメ
Artamus personatus_ホオグロモリツバメ
Artamus superciliosus_マミジロモリツバメ
Artemisiospiza belli_クロフヒメドリ
Artemisiospiza nevadensis_Sagebrush Sparrow
Artisornis metopias_アフリカサイホウチョウ
Artisornis moreaui_ハシナガイロムシクイ
Arundinax aedon_ハシブトオオヨシキリ
Arundinicola leucocephala_シロガシラタイランチョウ
Asemospiza fuliginosa_ウスズミコメワリ
Asemospiza obscura_マメワリ
Asio clamator_Striped Owl
Asio flammeus_コミミズク
Asio otus_トラフズク
Asio stygius_ナンベイトラフズク
Aspatha gularis_アオノドハチクイモドキ
Asthenes anthoides_シロアゴカマドドリ
Asthenes arequipae_チャバネカマドドリ
Asthenes baeri_コバシカマドドリ
Asthenes coryi_キビタイトゲオカマドドリ
Asthenes dorbignyi_キムネカマドドリ
Asthenes flammulata_タテジマカマドドリ
Asthenes fuliginosa_トゲオカマドドリ
Asthenes griseomurina_ネズミトゲオカマドドリ
Asthenes harterti_ノドグロトゲオカマドドリ
Asthenes helleri_プナトゲオカマドドリ
Asthenes heterura_ボリビアカマドドリ
Asthenes huancavelicae_アオオカマドドリ
Asthenes hudsoni_ハドソンカマドドリ
Asthenes maculicauda_マダラオカマドドリ
Asthenes modesta_ミヤマカマドドリ
Asthenes moreirae_ヤマトゲオカマドドリ
Asthenes ottonis_アカビタイカマドドリ
Asthenes palpebralis_メガネトゲオカマドドリ
Asthenes perijana_ペリジャトゲオカマドドリ
Asthenes pudibunda_タニサボテンカマドドリ
Asthenes pyrrholeuca_アカアゴカマドドリ
Asthenes sclateri_コルドバカマドドリ
Asthenes urubambensis_ホソオカマドドリ
Asthenes virgata_キノドカマドドリ
Asthenes wyatti_セジマカマドドリ
Atalotriccus pilaris_コバネハエトリ
Atelornis crossleyi_チャガシラハシリブッポウソウ
Atelornis pittoides_ルリガシラハシリブッポウソウ
Athene blewitti_モリコキンメフクロウ
Athene brama_インドコキンメフクロウ
Athene cunicularia_アナホリフクロウ
Athene noctua_コキンメフクロウ
Athene superciliaris_マダガスカルアオバズク
Atimastillas flavicollis_キノドコノハヒヨドリ
Atlapetes albinucha_シロエリヤブシトド
Atlapetes albofrenatus_シラヒゲヤブシトド
Atlapetes crassus_Choco Brushfinch
Atlapetes flaviceps_オリーブヤブシトド
Atlapetes fulviceps_ズアカヤブシトド
Atlapetes fuscoolivaceus_キバラヤブシトド
Atlapetes latinuchus_Yellow-breasted Brushfinch
Atlapetes leucopis_メジロヤブシトド
Atlapetes leucopterus_ハジロヤブシトド
Atlapetes melanocephalus_サンタマルタヤブシトド
Atlapetes melanolaemus_Black-faced Brushfinch
Atlapetes pallidiceps_エクアドルヤブシトド
Atlapetes pallidinucha_キエリヤブシトド
Atlapetes personatus_セグロヤブシトド
Atlapetes pileatus_アカボウシヤブシトド
Atlapetes rufigenis_ペルーヤブシトド
Atlapetes rufinucha_アカエリヤブシトド
Atlapetes schistaceus_ウスグロヤブシトド
Atlapetes seebohmi_チャガシラヤブシトド
Atlapetes semirufus_ムネアカヤブシトド
Atlapetes tibialis_クロキモモシトド
Atlapetes tricolor_サンショクヤブシトド
Atrichornis clamosus_ノドジロクサムラドリ
Atrichornis rufescens_ワキグロクサムラドリ
Attagis gayi_オオヒバリチドリ
Atthis ellioti_Wine-throated Hummingbird
Atthis heloisa_Bumblebee Hummingbird
Atticora fasciata_シロオビツバメ
Atticora pileata_Black-capped Swallow
Atticora tibialis_White-thighed Swallow
Attila bolivianus_チャガシラカギハシタイランチョウ
Attila cinnamomeus_ニッケイカギハシタイランチョウ
Attila citriniventris_キバラカギハシタイランチョウ
Attila phoenicurus_アカオカギハシタイランチョウ
Attila rufus_オオカギハシタイランチョウ
Attila spadiceus_カギハシタイランチョウ
Attila torridus_ウスイロカギハシタイランチョウ
Augastes lumachella_ボウシムナオビハチドリ
Augastes scutatus_ムナオビハチドリ
Aulacorhynchus albivitta_Southern Emerald-Toucanet
Aulacorhynchus atrogularis_Black-throated Toucanet
Aulacorhynchus caeruleogularis_Blue-throated Toucanet
Aulacorhynchus coeruleicinctis_アオオビミドリチュウハシ
Aulacorhynchus derbianus_クロアカミドリチュウハシ
Aulacorhynchus haematopygus_コシアカミドリチュウハシ
Aulacorhynchus prasinus_キバシミドリチュウハシ
Aulacorhynchus sulcatus_ミネアカミドリチュウハシ
Auriparus flaviceps_アメリカツリスガラ
Automolus exsertus_Chiriqui Foliage-gleaner
Automolus infuscatus_オリーブハシブトカマドドリ
Automolus lammi_Pernambuco Foliage-gleaner
Automolus leucophthalmus_メジロカマドドリ
Automolus melanopezus_チャイロカマドドリ
Automolus ochrolaemus_キノドハシブトカマドドリ
Automolus paraensis_Para Foliage-gleaner
Automolus rufipileatus_クリボウシカマドドリ
Automolus subulatus_シマカマドドリ
Automolus virgatus_Western Woodhaunter
Aviceda subcristata_カンムリカッコウハヤブサ
Aythya americana_アメリカホシハジロ
Aythya collaris_クビワキンクロ
Aythya ferina_ホシハジロ
Aythya fuligula_キンクロハジロ
Aythya marila_スズガモ
Aythya nyroca_メジロガモ
Aythya valisineria_オオホシハジロ
Baeolophus atricristatus_クロエボシガラ
Baeolophus bicolor_エボシガラ
Baeolophus inornatus_ハイエボシガラ
Baeolophus ridgwayi_ヒガシハイエボシガラ
Baeolophus wollweberi_シロガオエボシガラ
Baeopogon indicator_オジロヒヨドリ
Balearica regulorum_ホオジロカンムリヅル
Bambusicola fytchii_ウンナンコジュケイ
Bambusicola sonorivox_テッケイ
Bambusicola thoracicus_コジュケイ
Bangsia aureocincta_キオビフウキンチョウ
Bangsia edwardsi_コケイロフウキンチョウ
Bangsia melanochlamys_クロキバラフウキンチョウ
Bangsia rothschildi_キンムネフウキンチョウ
Barnardius zonarius_コダイマキエインコ
Bartramia longicauda_マキバシギ
Baryphthengus martii_アマゾンオオハチクイモドキ
Baryphthengus ruficapillus_オオハチクイモドキ
Basileuterus belli_キンマユアメリカムシクイ
Basileuterus culicivorus_キンイタダキアメリカムシクイ
Basileuterus lachrymosus_オウギアメリカムシクイ
Basileuterus melanogenys_ホオグロアメリカムシクイ
