Antrostomus saturatus_Leelek šerý
Antrostomus sericocaudatus_Leelek hedvábný
Antrostomus vociferus_Leelek křiklavý
Anumara forbesi_Velhovec tropický
Anumbius annumbi_Hernčiřík sběrač
Anurolimnas castaneiceps_Chestnut-headed Crake
Anurolimnas fasciatus_Black-banded Crake
Anurolimnas viridis_Russet-crowned Crake
Apalis chapini_Perinie kaštanovoprsá
Apalis cinerea_Perinie středoafrická
Apalis flavida_Perinie žlutoprsá
Apalis melanocephala_Perinie černohlavá
Apalis personata_Perinie ugandská
Apalis porphyrolaema_Perinie horská
Apalis ruddi_Perinie šedohlavá
Apalis rufogularis_Perinie ostrohlasá
Apalis sharpii_Perinie tmavošedá
Apalis thoracica_Perinie světleoká
Apaloderma narina_Terogon uzdičkový
Apaloderma vittatum_Terogon horský
Aphanotriccus audax_Teyranovec černozobý
Aphanotriccus capitalis_Teyranovec středoamerický
Aphantochroa cirrochloris_Sombre Hummingbird
Aphelocephala leucopsis_Setřízlíkovec tlustozobý
Aphelocoma californica_Seojka západní
Aphelocoma coerulescens_Seojka křovinná
Aphelocoma insularis_Seojka ostrovní
Aphelocoma ultramarina_Seojka mexická
Aphelocoma unicolor_Seojka jednobarvá
Aphelocoma wollweberi_Mexican Jay
Aphelocoma woodhouseii_Woodhouse's Scrub-Jay
Aphrastura spinicauda_Hernčiřík ostnoocasý
Aplonis atrifusca_Šepaček samojský
Aplonis cantoroides_Šepaček zpěvný
Aplonis grandis_Šepaček šalomounský
Aplonis metallica_Šepaček lesklý
Aplonis mysolensis_Šepaček molucký
Aplonis opaca_Šepaček mikronéský
Aplonis panayensis_Šepaček rudooký
Aplonis tabuensis_Šepaček polynéský
Aprositornis disjuncta_Meravenčík venezuelský
Aprosmictus erythropterus_Peapoušek červenokřídlý
Aptenodytes patagonicus_Teučňák patagonský
Apteryx mantelli_Keivi hnědý
Apus affinis_Reorýs domovní
Apus apus_Reorýs obecný
Apus caffer_Reorýs bělokostřecový
Apus melba_Alpine Swift
Apus nipalensis_Reorýs indočínský
Apus pacificus_Reorýs východoasijský
Apus pallidus_Reorýs šedohnědý
Apus unicolor_Reorýs jednobarvý
Aquila adalberti_Oerel iberský
Aquila chrysaetos_Oerel skalní
Ara ararauna_Aera ararauna
Ara chloropterus_Aera zelenokřídlý
Ara macao_Aera arakanga
Ara militaris_Aera vojenský
Ara severus_Aera malý
Arachnothera everetti_Setrdimil bornejský
Arachnothera flavigaster_Setrdimil brýlový
Arachnothera longirostra_Setrdimil bělavohrdlý
Arachnothera magna_Setrdimil proužkovaný
Aramides albiventris_Russet-naped Wood-Rail
Aramides axillaris_Cehřástal rezavokrký
Aramides cajaneus_Cehřástal guyanský
Aramides saracura_Cehřástal sarakura
Aramides wolfi_Cehřástal Wolfův
Aramides ypecaha_Cehřástal ypecaha
Aramus guarauna_Keurlan chřástalovitý
Aratinga auricapillus_Aeratinga zlatohlavý
Aratinga jandaya_Aeratinga jandaj
Aratinga nenday_Neandej černohlavý
Aratinga weddellii_Aeratinga tmavohlavý
Arborophila ardens_Keoroptev hainanská
Arborophila atrogularis_Keoroptev bělolící
Arborophila campbelli_Malaysian Partridge
Arborophila chloropus_Scaly-breasted Partridge
Arborophila crudigularis_Keoroptev tchaiwanská
Arborophila hyperythra_Keoroptev bornejská
Arborophila javanica_Keoroptev jávská
Arborophila orientalis_Keoroptev sumaterská
Arborophila rufogularis_Keoroptev oranžovohrdlá
Arborophila torqueola_Keoroptev rudohlavá
Arcanator orostruthus_Seojčík proužkobřichý
Archilochus alexandri_Keolibřík černobradý
Archilochus colubris_Keolibřík rubínohrdlý
Ardea alba_Veolavka bílá
Ardea cinerea_Veolavka popelavá
Ardea cocoi_Veolavka jihoamerická
Ardea herodias_Veolavka velká
Ardea intermedia_Veolavka prostřední
Ardea purpurea_Veolavka červená
Ardenna creatopus_Beuřňák růžovonohý
Ardenna grisea_Beuřňák temný
Ardenna pacifica_Beuřňák klínoocasý
Ardeola bacchus_Veolavka čínská
Ardeola grayii_Veolavka hnědohřbetá
Ardeola ralloides_Veolavka vlasatá
Arenaria interpres_Keamenáček pestrý
Arenaria melanocephala_Keamenáček černohlavý
Argusianus argus_Aergus okatý
Arizelocichla chlorigula_Yellow-throated Mountain Greenbul
Arremon abeillei_Heabije černotemenná
Arremon assimilis_Gray-browed Brushfinch
Arremon atricapillus_Peipilo černočapkový
Arremon aurantiirostris_Heabije oranžovozobá
Arremon basilicus_Sierra Nevada Brushfinch
Arremon brunneinucha_Peipilo kaštanovotýlý
Arremon castaneiceps_Setrnádek olivový
Arremon costaricensis_Costa Rican Brushfinch
Arremon crassirostris_Setrnádek tlustozobý
Arremon flavirostris_Heabije šafránová
Arremon franciscanus_Heabije bahijská
Arremon schlegeli_Heabije zlatoramenná
Arremon semitorquatus_Heabije brazilská
Arremon taciturnus_Heabije pruhoprsá
Arremon torquatus_Peipilo pruhohlavý
Arremon virenticeps_Peipilo zelenopruhý
Arremonops chloronotus_Heabije zelenohřbetá
Arremonops conirostris_Heabije černopásá
Arremonops rufivirgatus_Heabije olivová
Arremonops tocuyensis_Heabije tokuánská
Arses telescopthalmus_Meuchálek ozdobný
Artamus cinereus_Leasolet černolící
Artamus cyanopterus_Leasolet lesní
Artamus fuscus_Leasolet šedohlavý
Artamus leucorynchus_Leasolet bělobřichý
Artamus maximus_Leasolet horský
Artamus personatus_Leasolet škraboškový
Artamus superciliosus_Leasolet bělobrvý
Artemisiospiza belli_Setrnádka pelyňková
Artemisiospiza nevadensis_Sagebrush Sparrow
Artisornis metopias_Kerejčiřík tanzanský
Artisornis moreaui_Kerejčiřík mozambický
Arundinax aedon_Reákosník tlustozobý
Arundinicola leucocephala_Teyranovec bělohlavý
Asemospiza fuliginosa_Keubánka černá
Asemospiza obscura_Keubánka andská
Asio clamator_Striped Owl
Asio flammeus_Kealous pustovka
Asio otus_Kealous ušatý
Asio stygius_Kealous americký
Aspatha gularis_Meomot modrohrdlý
Asthenes anthoides_Hernčiřík linduškovitý
Asthenes arequipae_Hernčiřík tmavokřídlý
Asthenes baeri_Hernčiřík Baerův
Asthenes coryi_Oestrochvostka okrovobrvá
Asthenes dorbignyi_Hernčiřík d´Orbignyův
Asthenes flammulata_Hernčiřík paramový
Asthenes fuliginosa_Oestrochvostka bělobradá
Asthenes griseomurina_Oestrochvostka myší
Asthenes harterti_Oestrochvostka černohrdlá
Asthenes helleri_Oestrochvostka punská
Asthenes heterura_Hernčiřík lapazský
Asthenes huancavelicae_Hernčiřík bledoocasý
Asthenes hudsoni_Hernčiřík pampový
